,topk,alpha_topk,alpha_sparsity,alpha_gt_acc,alpha_pred_acc,alpha_kld
278,18,10.0,1.0,0.0,1.0,-6.686170284098125e-09
279,19,10.0,1.0,0.0,1.0,-6.686170284098125e-09
280,0,0.0,0.0,0.0,0.0,4.039262771606445
281,1,1.0,0.09090909361839294,0.0,0.0,4.199736595153809
282,2,2.0,0.1818181872367859,0.0,0.0,3.6332554817199707
283,3,3.0,0.27272728085517883,0.0,0.0,3.5562000274658203
284,4,4.0,0.3636363744735718,0.0,0.0,3.5135951042175293
285,5,5.0,0.4545454680919647,0.0,0.0,3.3130502700805664
286,6,6.0,0.5454545617103577,1.0,1.0,0.5252184271812439
287,7,7.0,0.6363636255264282,1.0,1.0,0.0031026173382997513
288,8,8.0,0.7272727489471436,1.0,1.0,1.3405282516032457e-05
289,9,9.0,0.8181818127632141,1.0,1.0,2.0388280972838402e-05
290,10,9.0,0.8181818127632141,1.0,1.0,2.0388280972838402e-05
291,11,11.0,1.0,1.0,1.0,3.614008203811636e-09
292,12,11.0,1.0,1.0,1.0,3.614008203811636e-09
293,13,11.0,1.0,1.0,1.0,3.614008203811636e-09
294,14,11.0,1.0,1.0,1.0,3.614008203811636e-09
295,15,11.0,1.0,1.0,1.0,3.614008203811636e-09
296,16,11.0,1.0,1.0,1.0,3.614008203811636e-09
297,17,11.0,1.0,1.0,1.0,3.614008203811636e-09
298,18,11.0,1.0,1.0,1.0,3.614008203811636e-09
299,19,11.0,1.0,1.0,1.0,3.614008203811636e-09
300,0,0.0,0.0,0.0,0.0,4.221336841583252
301,1,1.0,0.1428571492433548,0.0,0.0,4.385487079620361
302,2,2.0,0.2857142984867096,0.0,0.0,3.8059868812561035
303,3,3.0,0.4285714328289032,0.0,0.0,3.3637521266937256
304,4,4.0,0.5714285969734192,0.0,0.0,2.164330005645752
305,5,5.0,0.7142857313156128,1.0,1.0,0.014909897930920124
306,6,6.0,0.8571428656578064,1.0,1.0,1.483422238379717e-07
307,7,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
308,8,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
309,9,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
310,10,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
311,11,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
312,12,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
313,13,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
314,14,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
315,15,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
316,16,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
317,17,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
318,18,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
319,19,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
320,0,0.0,0.0,0.0,0.0,4.22092866897583
321,1,0.0,0.0,0.0,0.0,4.22092866897583
322,2,2.0,0.3333333432674408,0.0,0.0,3.8055977821350098
323,3,2.0,0.3333333432674408,0.0,0.0,3.8055977821350098
324,4,4.0,0.6666666865348816,0.0,0.0,2.1640191078186035
325,5,4.0,0.6666666865348816,0.0,0.0,2.1640191078186035
326,6,6.0,1.0,1.0,1.0,-1.1086679130301036e-08
327,7,6.0,1.0,1.0,1.0,-1.1086679130301036e-08
328,8,6.0,1.0,1.0,1.0,-1.1086679130301036e-08
329,9,6.0,1.0,1.0,1.0,-1.1086679130301036e-08
330,10,6.0,1.0,1.0,1.0,-1.1086679130301036e-08
331,11,6.0,1.0,1.0,1.0,-1.1086679130301036e-08
332,12,6.0,1.0,1.0,1.0,-1.1086679130301036e-08
333,13,6.0,1.0,1.0,1.0,-1.1086679130301036e-08
334,14,6.0,1.0,1.0,1.0,-1.1086679130301036e-08
335,15,6.0,1.0,1.0,1.0,-1.1086679130301036e-08
336,16,6.0,1.0,1.0,1.0,-1.1086679130301036e-08
337,17,6.0,1.0,1.0,1.0,-1.1086679130301036e-08
338,18,6.0,1.0,1.0,1.0,-1.1086679130301036e-08
339,19,6.0,1.0,1.0,1.0,-1.1086679130301036e-08
340,0,0.0,0.0,0.0,0.0,4.221336841583252
341,1,1.0,0.1428571492433548,0.0,0.0,4.385487079620361
342,2,2.0,0.2857142984867096,0.0,0.0,3.8059868812561035
343,3,3.0,0.4285714328289032,0.0,0.0,3.3637521266937256
344,4,4.0,0.5714285969734192,0.0,0.0,2.164330005645752
345,5,5.0,0.7142857313156128,1.0,1.0,0.014909897930920124
346,6,6.0,0.8571428656578064,1.0,1.0,1.483422238379717e-07
347,7,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
348,8,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
349,9,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
350,10,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
351,11,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
352,12,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
353,13,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
354,14,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
355,15,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
356,16,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
357,17,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
358,18,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
359,19,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
360,0,0.0,0.0,0.0,0.0,4.231142520904541
361,1,1.0,0.1111111119389534,0.0,0.0,4.395471096038818
362,2,2.0,0.2222222238779068,0.0,0.0,4.271275997161865
363,3,3.0,0.3333333432674408,0.0,0.0,3.372614622116089
364,4,4.0,0.4444444477558136,0.0,0.0,2.171814203262329
365,5,5.0,0.5555555820465088,1.0,1.0,0.01656872034072876
366,6,6.0,0.6666666865348816,1.0,1.0,0.16828495264053345
367,7,7.0,0.7777777910232544,1.0,1.0,0.0009055049158632755
368,8,8.0,0.8888888955116272,1.0,1.0,2.3474422050639987e-07
369,9,9.0,1.0,1.0,1.0,0.0
370,10,9.0,1.0,1.0,1.0,0.0
371,11,9.0,1.0,1.0,1.0,0.0
372,12,9.0,1.0,1.0,1.0,0.0
373,13,9.0,1.0,1.0,1.0,0.0
374,14,9.0,1.0,1.0,1.0,0.0
375,15,9.0,1.0,1.0,1.0,0.0
376,16,9.0,1.0,1.0,1.0,0.0
377,17,9.0,1.0,1.0,1.0,0.0
378,18,9.0,1.0,1.0,1.0,0.0
379,19,9.0,1.0,1.0,1.0,0.0
380,0,0.0,0.0,0.0,0.0,4.2311601638793945
381,1,1.0,0.1111111119389534,0.0,0.0,4.39548921585083
382,2,2.0,0.2222222238779068,0.0,0.0,3.815354585647583
383,3,3.0,0.3333333432674408,0.0,0.0,3.3726305961608887
384,4,4.0,0.4444444477558136,0.0,0.0,2.171828031539917
385,5,5.0,0.5555555820465088,0.0,0.0,2.134213924407959
386,6,6.0,0.6666666865348816,0.0,0.0,2.14422869682312
387,7,7.0,0.7777777910232544,1.0,1.0,0.0009064020123332739
388,8,8.0,0.8888888955116272,1.0,1.0,1.4472607290372252e-07
389,9,9.0,1.0,1.0,1.0,2.6360432059391314e-08
390,10,9.0,1.0,1.0,1.0,2.6360432059391314e-08
391,11,9.0,1.0,1.0,1.0,2.6360432059391314e-08
392,12,9.0,1.0,1.0,1.0,2.6360432059391314e-08
393,13,9.0,1.0,1.0,1.0,2.6360432059391314e-08
394,14,9.0,1.0,1.0,1.0,2.6360432059391314e-08
395,15,9.0,1.0,1.0,1.0,2.6360432059391314e-08
396,16,9.0,1.0,1.0,1.0,2.6360432059391314e-08
397,17,9.0,1.0,1.0,1.0,2.6360432059391314e-08
398,18,9.0,1.0,1.0,1.0,2.6360432059391314e-08
399,19,9.0,1.0,1.0,1.0,2.6360432059391314e-08
400,0,0.0,0.0,0.0,0.0,4.230648517608643
401,1,1.0,0.125,0.0,0.0,4.394968509674072
402,2,2.0,0.25,0.0,0.0,4.27078104019165
403,3,3.0,0.375,0.0,0.0,3.37216854095459
404,4,4.0,0.5,0.0,0.0,2.1714372634887695
405,5,5.0,0.625,0.0,0.0,2.1338255405426025
406,6,6.0,0.75,1.0,1.0,0.16810265183448792
407,7,7.0,0.875,1.0,1.0,0.0008803645614534616
408,8,8.0,1.0,1.0,1.0,-2.6821403764643037e-08
409,9,8.0,1.0,1.0,1.0,-2.6821403764643037e-08
410,10,8.0,1.0,1.0,1.0,-2.6821403764643037e-08
411,11,8.0,1.0,1.0,1.0,-2.6821403764643037e-08
412,12,8.0,1.0,1.0,1.0,-2.6821403764643037e-08
413,13,8.0,1.0,1.0,1.0,-2.6821403764643037e-08
414,14,8.0,1.0,1.0,1.0,-2.6821403764643037e-08
415,15,8.0,1.0,1.0,1.0,-2.6821403764643037e-08
416,16,8.0,1.0,1.0,1.0,-2.6821403764643037e-08
417,17,8.0,1.0,1.0,1.0,-2.6821403764643037e-08
418,18,8.0,1.0,1.0,1.0,-2.6821403764643037e-08
419,19,8.0,1.0,1.0,1.0,-2.6821403764643037e-08
420,0,0.0,0.0,0.0,0.0,4.221336841583252
421,1,1.0,0.1428571492433548,0.0,0.0,4.385487079620361
422,2,2.0,0.2857142984867096,0.0,0.0,3.8059868812561035
423,3,3.0,0.4285714328289032,0.0,0.0,3.3637521266937256
424,4,4.0,0.5714285969734192,0.0,0.0,2.164330005645752
425,5,5.0,0.7142857313156128,1.0,1.0,0.014909897930920124
426,6,6.0,0.8571428656578064,1.0,1.0,1.483422238379717e-07
427,7,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
428,8,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
429,9,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
430,10,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
431,11,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
432,12,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
433,13,7.0,1.0,1.0,1.0,-4.6196584335689295e-09
